Drum/*                   . . .
Piano_AcousticGrand      0 . .
Piano_AcousticBright     1 . .
Piano_ElecGrand          2 . .
Piano_HonkyTonk          3 . .
Piano_Elec1              4 . .
Piano_Elec2              5 . .
Piano_Harpsichord        6 . .
Piano_Clavinet           7 . .
ChromPerc_Celesta        8 . .
ChromPerc_Glockenspiel   9 . .
ChromPerc_MusicBox      10 . .
ChromPerc_Vibraphone    11 . .
ChromPerc_Marimba       12 . .
ChromPerc_Xylophone     13 . .
ChromPerc_TubularBells  14 . .
ChromPerc_Dulcimer      15 . .
Organ_Drawbar           16 . .
Organ_Perc              17 . .
Organ_Rock              18 . .
Organ_Church            19 . .
Organ_Reed              20 . .
Organ_Accordian         21 . .
Organ_Harmonica         22 . .
Organ_AccordianTango    23 . .
Guitar_NylonStr         24 . .
Guitar_SteelStr         25 . .
Guitar_ElecJazz         26 . .
Guitar_ElecClean        27 . .
Guitar_ElecMuted        28 . .
Guitar_Overdriven       29 . .
Guitar_Distortion       30 . .
Guitar_Harmonics        31 . .
Bass_Acoustic           32 . .
Bass_ElecFinger         33 . .
Bass_ElecPick           34 . .
Bass_Fretless           35 . .
Bass_Slap1              36 . .
Bass_Slap2              37 . .
Bass_Syn1               38 . .
Bass_Syn2               39 . .
SoloStr_Violin          40 . .
SoloStr_Viola           41 . .
SoloStr_Cello           42 . .
SoloStr_Contrabass      43 . .
SoloStr_Tremolo         44 . .
SoloStr_Pizzicato       45 . .
SoloStr_Orchestral      46 . .
SoloStr_Timpani         47 . .
Ensemble_Str1           48 . .
Ensemble_Str2           49 . .
Ensemble_SynStrs1       50 . .
Ensemble_SynStrs2       51 . .
Ensemble_ChoirAahs      52 . .
Ensemble_VoiceOohs      53 . .
Ensemble_SynVoice       54 . .
Ensemble_OrchestraHit   55 . .
Brass_Trumpet           56 . .
Brass_Trombone          57 . .
Brass_Tuba              58 . .
Brass_TrumpetMuted      59 . .
Brass_FrenchHorn        60 . .
Brass_BrassSection      61 . .
Brass_Syn1              62 . .
Brass_Syn2              63 . .
Reed_SaxSoprano         64 . .
Reed_SaxAlto            65 . .
Reed_SaxTenor           66 . .
Reed_SaxBaritone        67 . .
Reed_Oboe               68 . .
Reed_EnglishHorn        69 . .
Reed_Bassoon            70 . .
Reed_Clarinet           71 . .
Pipe_Piccolo            72 . .
Pipe_Flute              73 . .
Pipe_Recorder           74 . .
Pipe_FlutePan           75 . .
Pipe_BlownBottle        76 . .
Pipe_Skakuhachi         77 . .
Pipe_Whistle            78 . .
Pipe_Ocarina            79 . .
SynLead_Square          80 . .
SynLead_Sawtooth        81 . .
SynLead_Calliope        82 . .
SynLead_Chiff           83 . .
SynLead_Charang         84 . .
SynLead_Voice           85 . .
SynLead_Fifths          86 . .
SynLead_Bass+Lead       87 . .
SynPad_NewAge           88 . .
SynPad_Warm             89 . .
SynPad_PolySyn          90 . .
SynPad_Choir            91 . .
SynPad_Bowed            92 . .
SynPad_Metallic         93 . .
SynPad_Halo             94 . .
SynPad_Sweep            95 . .
SynFX_Rain              96 . .
SynFX_Soundtrack        97 . .
SynFX_Crystal           98 . .
SynFX_Atmosphere        99 . .
SynFX_Brightness       100 . .
SynFX_Goblins          101 . .
SynFX_Echoes           102 . .
SynFX_SciFi            103 . .
Ethnic_Sitar           104 . .
Ethnic_Banjo           105 . .
Ethnic_Shamisen        106 . .
Ethnic_Koto            107 . .
Ethnic_Kalimba         108 . .
Ethnic_Bagpipe         109 . .
Ethnic_Fiddle          110 . .
Ethnic_Shanai          111 . .
Perc_TinkleBell        112 . .
Perc_Agogo             113 . .
Perc_SteelDrums        114 . .
Perc_WoodBlock         115 . .
Perc_TaikoDrum         116 . .
Perc_MelodicTom        117 . .
Perc_SynDrum           118 . .
Perc_RvrsCymbal        119 . .
SndFX_GuitarFret       120 . .
SndFX_BreathNoise      121 . .
SndFX_Seashore         122 . .
SndFX_BirdTweet        123 . .
SndFX_TeleRing         124 . .
SndFX_Helicopter       125 . .
SndFX_Applause         126 . .
SndFX_Gunshot          127 . .
