etc_1Hi1Lo_DF         30 . 2
etc_42Deep_DF        111 . 2
etc_4ThCity_DF        27 . 1
etc_80'sSequencer     31 . 1
etc_Aaah_1            73 . 2
etc_Aaah_2            74 . 2
etc_AcidicBass_DF     29 . 1
etc_Airhead           81 . 1
etc_AlaskaSplitLoC    69 . 1
etc_AmazonNatives    121 . 2
etc_AncientBells      62 . 1
etc_AngryDub_PM       32 . 2
etc_AntsyBass_DF      24 . 1
etc_Ark_EP           115 . 2
etc_ArpProSoloist     63 . 1
etc_ArpStrings        39 . 1
etc_Balladeer         52 . 1
etc_BangaDrumBass_PM  54 . 2
etc_BassHoovr_PS     123 . 1
etc_BassIsWet_DC       0 . 1
etc_BigFoot_DF        35 . 2
etc_BitXBowl_DC      110 . 2
etc_Black2Mailbox_PS 125 . 1
etc_Black3MailBox_PS  90 . 1
etc_BoogieOnBass      64 . 1
etc_BottomFeeder_PS   85 . 1
etc_BreakdownArp_PM    8 . 2
etc_BreakdownPad_PM   47 . 2
etc_BreakerVocoder    71 . 2
etc_BreathyVocoder    58 . 2
etc_CallinLondon_PM   43 . 2
etc_CathedalOrgan     61 . 1
etc_ChatterArp_PM     45 . 2
etc_ChubbyBass_DF     13 . 1
etc_Churn_PS         114 . 1
etc_ClassicHorn       59 . 1
etc_Clav_1            50 . 1
etc_Clav_2            51 . 1
etc_CleanDutch_AL     95 . 2
etc_ClimbingVocoder   67 . 2
etc_Clusters_DF       22 . 1
etc_CoatHanger_JF    127 . 2
etc_Col.BatGuano_PS  108 . 1
etc_CowFrog_PS       119 . 1
etc_CreepyDrone_DP   113 . 2
etc_Cry4Moon_DF       14 . 1
etc_CubedBass_DF      18 . 1
etc_CylleString_PS   111 . 1
etc_DeathWobble_PS    86 . 1
etc_DigiMallot_BC     93 . 2
etc_DirtStabSplit_PM  52 . 2
etc_DistVocTune       89 . 2
etc_DiveBomb_PS        0 . 2
etc_DrippyBass_DF      8 . 1
etc_DubBass1_PM       13 . 2
etc_DubMonica_PS     124 . 1
etc_EasternStringer   77 . 1
etc_EinsZwieVocoder   70 . 2
etc_Electric_Dyno_PM  57 . 2
etc_EssexSynth_PM     50 . 2
etc_Eurozone          40 . 1
etc_FaeryCave_DC     102 . 2
etc_FairlyLite       118 . 2
etc_FarTie_Dub_PM     24 . 2
etc_FatBstrd_DF       26 . 1
etc_FilteredVocTune   84 . 2
etc_FingaPicka_PM     53 . 2
etc_Flanja_DF         28 . 1
etc_FloatinNuttelaPM  17 . 2
etc_FlyBy_PS           1 . 2
etc_FM_SyncLeadMW_PM  44 . 2
etc_FreeClimber_PS   118 . 1
etc_FritzTropolis_PS   2 . 2
etc_FurryBassDF       19 . 1
etc_GallopString_DF   20 . 1
etc_GeigerCount_DF    80 . 1
etc_GettaBass_AL      96 . 2
etc_Gojira_Breth_PS  117 . 1
etc_GrandFinale1_PS   92 . 1
etc_GrowLie_Dub_PM    21 . 2
etc_HardDubBass_PM    10 . 2
etc_HardKnocks_PM     11 . 2
etc_HarmonicPad       54 . 1
etc_HartThrob_DC     100 . 2
etc_HateStrings_DC   103 . 2
etc_HipHopStab1_PM    15 . 2
etc_Hop1Lead          45 . 1
etc_Hop2Lead          46 . 1
etc_HugeManna_PS     106 . 1
etc_HybridE.Bass      56 . 1
etc_HypaMeltDownz_PM  40 . 2
etc_HypaSquare_PM     39 . 2
etc_InDaCrypt_PM      51 . 2
etc_InTheHopper       65 . 1
etc_JahJahJah_DC     108 . 2
etc_JellyLead_DC     109 . 2
etc_JetPad_PS        127 . 1
etc_JonnaBells       114 . 2
etc_JumpIt!          117 . 2
etc_KarlosWhey       124 . 2
etc_Kick&Bass         73 . 1
etc_KwerkyVocoder     65 . 2
etc_LeadDub_MW        94 . 2
etc_LeadVocoder       59 . 2
etc_LeagueBass        92 . 2
etc_Lectrolux1_PS     91 . 1
etc_LectroPerx_PS      4 . 2
etc_LilPopDaWorld_AL  97 . 2
etc_LogDrumBass       71 . 1
etc_LogDrumBass_PS    87 . 1
etc_LookNoFX_DF       72 . 2
etc_LushVocoder       88 . 2
etc_LuxuryPad_DF      28 . 2
etc_LvlDownVocTune    76 . 2
etc_LvlUpVocTune      75 . 2
etc_MachineMenBass    90 . 2
etc_Majestic_DF       23 . 1
etc_Marimbish         72 . 1
etc_Mechano1_PS      107 . 1
etc_Metallo2_PS       83 . 1
etc_MetalMotion_PS     3 . 2
etc_ModularClocks      3 . 1
etc_ModularResobass   42 . 1
etc_ModWheelSync_PM    4 . 1
etc_MogueLead_Mw_S&H  34 . 1
etc_MorphingVocoder   69 . 2
etc_MotorOyl_PS      121 . 1
etc_Mr.E_Pad_DF       11 . 1
etc_Mudflaps_PS      113 . 1
etc_MwhlFeedbacker    36 . 1
etc_MwhlSweeper       41 . 1
etc_MwlDreamyPad      78 . 1
etc_Nauseum_DF        12 . 1
etc_NevrNo1_PS        88 . 1
etc_Niagra_DF         48 . 2
etc_NoiseyPicker_PM   38 . 2
etc_NormVocTune       77 . 2
etc_NotJus1_PS        94 . 1
etc_NotSubtle_DF      16 . 1
etc_Novachord         66 . 1
etc_OcatveMangle_PS   93 . 1
etc_OctavesLead       47 . 1
etc_OhhWhaarG_PM      56 . 2
etc_OhYeah?_PM         7 . 2
etc_OldSchoolR&B      67 . 1
etc_OneUgly..._DC    106 . 2
etc_OnYourBackBassPM  49 . 2
etc_OowHopStab_PM      9 . 2
etc_Organic_DC        99 . 2
etc_OxyStrings_DF      2 . 1
etc_Pad1Vocoder       60 . 2
etc_Pad2Vocoder       61 . 2
etc_Pad3Vocoder       62 . 2
etc_Pad4Vocoder       63 . 2
etc_Padulushious_PM   27 . 2
etc_Percomatic        79 . 1
etc_PercussiveDub_PM  33 . 2
etc_Pianistic         48 . 1
etc_PinCode          126 . 2
etc_PinPrick_PM       16 . 2
etc_PitcHie_Dub_PM    22 . 2
etc_PitchieStabba_PM  37 . 2
etc_PitchPad_PM       25 . 2
etc_Pizz-a-Cake_PM    18 . 2
etc_PlaykeysVocTune   78 . 2
etc_PlayScaleVocTune  82 . 2
etc_PleaseDon'tStop   75 . 1
etc_PoppyRen_DC      105 . 2
etc_PoserBass         76 . 1
etc_PotsAndPans      122 . 2
etc_PowaChord_PM      55 . 2
etc_ProggyBrkDwn_PS    5 . 2
etc_PsiClopian_PS     96 . 1
etc_PsuedoOrgan       60 . 1
etc_PunchyBass        33 . 1
etc_QuartetFaris_DC  104 . 2
etc_R&B_Bass_PM       20 . 2
etc_RandomRepSnare   123 . 2
etc_RingmodVocTune    86 . 2
etc_RobotVocoder      64 . 2
etc_Rosin8r2_PS       99 . 1
etc_RosinBow          37 . 1
etc_SciFiVocoder      80 . 2
etc_SeriesTubes_PS   100 . 1
etc_ShapeShift_DF     30 . 1
etc_ShaverLead_PS     97 . 1
etc_Shufflin_DF        9 . 1
etc_SimpleRiff        91 . 2
etc_SkyBlueVocoder    66 . 2
etc_Sleet_PS           6 . 2
etc_SlideyDub_PM      34 . 2
etc_SnarkyLeadDF      15 . 1
etc_SofteePiano       49 . 1
etc_SolidKick_OB     116 . 2
etc_SoloPitchVocTune  85 . 2
etc_SonarPing_DF      10 . 1
etc_SounTrax_PS       89 . 1
etc_SpaceBleep_PM     14 . 2
etc_SpaceOboes_PS    109 . 1
etc_SpaceVoyageTC3   119 . 2
etc_Sparky_PS         98 . 1
etc_SpeakinModWBasPM  12 . 2
etc_Spelunkatron_PS  126 . 1
etc_SprayBells_PS    104 . 1
etc_SQ_PotLid_PM      26 . 2
etc_Squelcher_DC     101 . 2
etc_StabbaNaught_PM   46 . 2
etc_Stabolicious_PS   84 . 1
etc_StellarPad        58 . 1
etc_StopTapeVocTune   83 . 2
etc_StringTheory_PS  122 . 1
etc_SurfinDaVortexPM   6 . 1
etc_Sweeper           82 . 1
etc_SwellPadN_PS     102 . 1
etc_SwellSaw         120 . 2
etc_SygnWave_DF       17 . 1
etc_Synchromatic1_PS 103 . 1
etc_SynthFretless     43 . 1
etc_SynthPopPiano    125 . 2
etc_TalKie_Dub_PM     23 . 2
etc_TalkinNonsencePM  41 . 2
etc_TaurusBass        70 . 1
etc_TB_Mainiac_PM      5 . 1
etc_TearsInRain_DC   112 . 2
etc_ThaSkinny_PS     110 . 1
etc_ThroatyDub_PM     31 . 2
etc_TineE.Piano       68 . 1
etc_Tinklers_DF       21 . 1
etc_ToBeOver          32 . 1
etc_Torched_PS       101 . 1
etc_TotoMundi_PS     120 . 1
etc_TranceAttack_PM   29 . 2
etc_TunedNoise        74 . 1
etc_TwinPeaks_PS     116 . 1
etc_TwistedVocoder    68 . 2
etc_UpAlwaysVocTune   79 . 2
etc_UpTheMwhl         35 . 1
etc_VelEvoPad         53 . 1
etc_Vibes             57 . 1
etc_Viola             38 . 1
etc_Vocod&Tune        87 . 2
etc_VocodSynthKeyz    81 . 2
etc_VoiceOfGrey_PS   115 . 1
etc_Wave2Sequence     44 . 1
etc_WaveSequence_PM   42 . 2
etc_WibWob_AL         98 . 2
etc_WildStabba_PM     19 . 2
etc_WobbaDrop_DC     107 . 2
etc_WobbleVocoder      7 . 1
etc_WobblyDub_PM       1 . 1
etc_WobblyScratch_PM  36 . 2
etc_WormLead_PS      105 . 1
etc_WowsieDF          25 . 1
etc_WrenchKiss_PS     95 . 1
etc_Wurlygig          55 . 1
etc_Yuyuyu_PS        112 . 1
