a        b         c         width     height    centerx   centery
_____________________________________________________________________
69       53        72        .7        .7        230       99
12       3.93      -.888     5         5         200       99
1        3         5         5         5         300       99
2        1         3         6         6         290       99
.4       1         0         100       100       240       99
-.6      .5        -1.5      10        10        330       99
.01      55.55     111.11    1         1         319       99
.01      12.5      111.11    1.6       1.2       319       99
.01      -.09      -.01      120       120       319       99
.01      -10.99    111.11    1         1         319       99
